"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
1,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de niños, niñas y adolescentes (menores de 18 años)","55263","2021","ADIS"
2,"Los Lagos","Llanquihue","Calbuco","10102","N° de niños, niñas y adolescentes (menores de 18 años)","8313","2021","ADIS"
3,"Los Lagos","Llanquihue","Cochamó","10103","N° de niños, niñas y adolescentes (menores de 18 años)","863","2021","ADIS"
4,"Los Lagos","Llanquihue","Fresia","10104","N° de niños, niñas y adolescentes (menores de 18 años)","2590","2021","ADIS"
5,"Los Lagos","Llanquihue","Frutillar","10105","N° de niños, niñas y adolescentes (menores de 18 años)","4606","2021","ADIS"
6,"Los Lagos","Llanquihue","Los Muermos","10106","N° de niños, niñas y adolescentes (menores de 18 años)","3843","2021","ADIS"
7,"Los Lagos","Llanquihue","Llanquihue","10107","N° de niños, niñas y adolescentes (menores de 18 años)","3926","2021","ADIS"
8,"Los Lagos","Llanquihue","Maullín","10108","N° de niños, niñas y adolescentes (menores de 18 años)","3124","2021","ADIS"
9,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de niños, niñas y adolescentes (menores de 18 años)","8638","2021","ADIS"
10,"Los Lagos","Chiloé","Castro","10201","N° de niños, niñas y adolescentes (menores de 18 años)","10070","2021","ADIS"
11,"Los Lagos","Chiloé","Ancud","10202","N° de niños, niñas y adolescentes (menores de 18 años)","9192","2021","ADIS"
12,"Los Lagos","Chiloé","Chonchi","10203","N° de niños, niñas y adolescentes (menores de 18 años)","3265","2021","ADIS"
13,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de niños, niñas y adolescentes (menores de 18 años)","793","2021","ADIS"
14,"Los Lagos","Chiloé","Dalcahue","10205","N° de niños, niñas y adolescentes (menores de 18 años)","3632","2021","ADIS"
15,"Los Lagos","Chiloé","Chiloé","10206","N° de niños, niñas y adolescentes (menores de 18 años)","787","2021","ADIS"
16,"Los Lagos","Chiloé","Queilén","10207","N° de niños, niñas y adolescentes (menores de 18 años)","1277","2021","ADIS"
17,"Los Lagos","Chiloé","Quellón","10208","N° de niños, niñas y adolescentes (menores de 18 años)","7150","2021","ADIS"
18,"Los Lagos","Chiloé","Quemchi","10209","N° de niños, niñas y adolescentes (menores de 18 años)","1795","2021","ADIS"
19,"Los Lagos","Chiloé","Quinchao","10210","N° de niños, niñas y adolescentes (menores de 18 años)","1621","2021","ADIS"
20,"Los Lagos","Osorno","Osorno","10301","N° de niños, niñas y adolescentes (menores de 18 años)","32187","2021","ADIS"
21,"Los Lagos","Osorno","Puerto Octay","10302","N° de niños, niñas y adolescentes (menores de 18 años)","2033","2021","ADIS"
22,"Los Lagos","Osorno","Purranque","10303","N° de niños, niñas y adolescentes (menores de 18 años)","4459","2021","ADIS"
23,"Los Lagos","Osorno","Puyehue","10304","N° de niños, niñas y adolescentes (menores de 18 años)","2323","2021","ADIS"
24,"Los Lagos","Osorno","Río Negro","10305","N° de niños, niñas y adolescentes (menores de 18 años)","3210","2021","ADIS"
25,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de niños, niñas y adolescentes (menores de 18 años)","1711","2021","ADIS"
26,"Los Lagos","Osorno","San Pablo","10307","N° de niños, niñas y adolescentes (menores de 18 años)","2297","2021","ADIS"
27,"Los Lagos","Palena","Chaitén","10401","N° de niños, niñas y adolescentes (menores de 18 años)","898","2021","ADIS"
28,"Los Lagos","Palena","Futaleufú","10402","N° de niños, niñas y adolescentes (menores de 18 años)","597","2021","ADIS"
29,"Los Lagos","Palena","Hualaihué","10403","N° de niños, niñas y adolescentes (menores de 18 años)","2406","2021","ADIS"
